Parent	Child	EdgeType
subsystem155	subsystem10	Child-Parent
subsystem155	subsystem14	Child-Parent
subsystem156	subsystem11	Child-Parent
subsystem156	subsystem16	Child-Parent
subsystem192	subsystem28	Child-Parent
subsystem192	subsystem38	Child-Parent
subsystem247	subsystem134	Child-Parent
subsystem247	subsystem292	Child-Parent
subsystem272	subsystem58	Child-Parent
subsystem272	subsystem292	Child-Parent
subsystem280	subsystem292	Child-Parent
subsystem290	subsystem134	Child-Parent
subsystem290	subsystem292	Child-Parent
subsystem292	subsystem12	Child-Parent
subsystem292	subsystem18	Child-Parent
subsystem292	subsystem28	Child-Parent
subsystem292	subsystem33	Child-Parent
subsystem292	subsystem36	Child-Parent
subsystem292	subsystem38	Child-Parent
subsystem292	subsystem40	Child-Parent
subsystem292	subsystem42	Child-Parent
subsystem292	subsystem43	Child-Parent
subsystem292	subsystem49	Child-Parent
subsystem292	subsystem116	Child-Parent
subsystem292	subsystem149	Child-Parent
subsystem292	subsystem154	Child-Parent
subsystem292	subsystem155	Child-Parent
subsystem292	subsystem156	Child-Parent
subsystem292	subsystem164	Child-Parent
subsystem384	subsystem292	Child-Parent
subsystem389	subsystem247	Child-Parent
subsystem389	subsystem292	Child-Parent
subsystem391	subsystem2	Child-Parent
subsystem391	subsystem31	Child-Parent
subsystem391	subsystem39	Child-Parent
subsystem391	subsystem157	Child-Parent
subsystem396	subsystem192	Child-Parent
subsystem396	subsystem247	Child-Parent
subsystem396	subsystem290	Child-Parent
subsystem396	subsystem292	Child-Parent
subsystem396	subsystem401	Child-Parent
subsystem398	subsystem292	Child-Parent
subsystem401	subsystem0	Child-Parent
subsystem401	subsystem6	Child-Parent
subsystem401	subsystem7	Child-Parent
subsystem401	subsystem15	Child-Parent
subsystem401	subsystem29	Child-Parent
subsystem401	subsystem34	Child-Parent
subsystem401	subsystem35	Child-Parent
subsystem401	subsystem37	Child-Parent
subsystem401	subsystem94	Child-Parent
subsystem401	subsystem95	Child-Parent
subsystem401	subsystem96	Child-Parent
subsystem401	subsystem192	Child-Parent
subsystem401	subsystem194	Child-Parent
subsystem401	subsystem280	Child-Parent
subsystem401	subsystem292	Child-Parent
subsystem451	subsystem286	Child-Parent
subsystem451	subsystem292	Child-Parent
subsystem456	subsystem286	Child-Parent
subsystem456	subsystem292	Child-Parent
subsystem805	subsystem1	Child-Parent
