Parent	Child	EdgeType
subsystem100	subsystem75	Child-Parent
subsystem100	subsystem76	Child-Parent
subsystem101	subsystem76	Child-Parent
subsystem101	subsystem77	Child-Parent
subsystem102	subsystem76	Child-Parent
subsystem102	subsystem83	Child-Parent
subsystem112	subsystem103	Child-Parent
subsystem113	subsystem84	Child-Parent
subsystem113	subsystem86	Child-Parent
subsystem114	subsystem86	Child-Parent
subsystem114	subsystem87	Child-Parent
subsystem115	subsystem78	Child-Parent
subsystem115	subsystem86	Child-Parent
subsystem117	subsystem108	Child-Parent
subsystem119	subsystem102	Child-Parent
subsystem120	subsystem101	Child-Parent
subsystem120	subsystem111	Child-Parent
subsystem121	subsystem107	Child-Parent
subsystem121	subsystem115	Child-Parent
subsystem122	subsystem110	Child-Parent
subsystem122	subsystem112	Child-Parent
subsystem123	subsystem114	Child-Parent
subsystem123	subsystem115	Child-Parent
subsystem124	subsystem93	Child-Parent
subsystem124	subsystem112	Child-Parent
subsystem125	subsystem93	Child-Parent
subsystem125	subsystem111	Child-Parent
subsystem126	subsystem93	Child-Parent
subsystem126	subsystem111	Child-Parent
subsystem126	subsystem112	Child-Parent
subsystem127	subsystem108	Child-Parent
subsystem132	subsystem116	Child-Parent
subsystem133	subsystem79	Child-Parent
subsystem133	subsystem82	Child-Parent
subsystem134	subsystem109	Child-Parent
subsystem134	subsystem122	Child-Parent
subsystem135	subsystem113	Child-Parent
subsystem135	subsystem124	Child-Parent
subsystem135	subsystem127	Child-Parent
subsystem136	subsystem118	Child-Parent
subsystem136	subsystem121	Child-Parent
subsystem137	subsystem125	Child-Parent
subsystem137	subsystem126	Child-Parent
subsystem138	subsystem121	Child-Parent
subsystem138	subsystem123	Child-Parent
subsystem139	subsystem109	Child-Parent
subsystem139	subsystem120	Child-Parent
subsystem140	subsystem74	Child-Parent
subsystem140	subsystem79	Child-Parent
subsystem141	subsystem74	Child-Parent
subsystem141	subsystem106	Child-Parent
subsystem146	subsystem0	Child-Parent
subsystem146	subsystem17	Child-Parent
subsystem147	subsystem2	Child-Parent
subsystem147	subsystem10	Child-Parent
subsystem148	subsystem3	Child-Parent
subsystem148	subsystem9	Child-Parent
subsystem149	subsystem138	Child-Parent
subsystem149	subsystem139	Child-Parent
subsystem149	subsystem140	Child-Parent
subsystem149	subsystem141	Child-Parent
subsystem157	subsystem144	Child-Parent
subsystem160	subsystem151	Child-Parent
subsystem163	subsystem157	Child-Parent
subsystem164	subsystem142	Child-Parent
subsystem164	subsystem162	Child-Parent
subsystem165	subsystem156	Child-Parent
subsystem165	subsystem159	Child-Parent
subsystem166	subsystem153	Child-Parent
subsystem166	subsystem162	Child-Parent
subsystem167	subsystem142	Child-Parent
subsystem167	subsystem154	Child-Parent
subsystem168	subsystem47	Child-Parent
subsystem168	subsystem50	Child-Parent
subsystem169	subsystem95	Child-Parent
subsystem169	subsystem129	Child-Parent
subsystem170	subsystem143	Child-Parent
subsystem170	subsystem150	Child-Parent
subsystem170	subsystem158	Child-Parent
subsystem171	subsystem145	Child-Parent
subsystem171	subsystem152	Child-Parent
subsystem171	subsystem167	Child-Parent
subsystem172	subsystem160	Child-Parent
subsystem172	subsystem165	Child-Parent
subsystem173	subsystem145	Child-Parent
subsystem173	subsystem152	Child-Parent
subsystem173	subsystem160	Child-Parent
